0 0.202738 -0.979233
1 0.267533 -0.963549
2 0.285903 -0.958259
3 0.718343 -0.695689
4 -0.120916 -0.992663
5 -0.733579 0.679605
6 -0.496389 -0.8681
7 -0.579092 0.815262
8 0.979307 -0.202382
9 -0.539068 -0.842262
10 -0.882022 -0.471209
11 0.995234 -0.0975149
12 0.857479 -0.51452
13 -0.556483 -0.830859
14 0.955125 -0.296204
15 0.977821 0.209442
16 -0.786838 -0.617159
17 -0.739063 0.673636
18 0.478492 -0.878092
19 -0.989337 0.145646
20 -0.973937 0.226819
21 -0.414713 -0.909952
22 -0.667707 0.744424
23 0.77446 0.632623
24 0.282423 0.95929
25 0.398656 0.917101
26 0.613848 -0.789424
27 0.968161 0.25033
28 -0.987267 0.159069
29 -0.950832 -0.309707
30 0.822304 0.569049
31 0.0542356 -0.998528
32 -0.0111927 0.999937
33 0.646103 -0.76325
